Record_ID,Dataset_Owner,Split_Role,Scope_Flag,Molecule_Name,System_Code,Unit_Type,Oligomer_n,Canonical_SMILES,InChIKey,HOMO_eV,LUMO_eV,Eg_eV,Experimental_Eg_eV,S_Count,Se_Count,Te_Count,Chalcogen_Type,Method,Basis_Set,Curation_Status
EROL_0001,Erol dataset,Development/Training,Core_SSeTe,"D58,A1",,,,Cc1[se]c(-c2c3cc(-c4nnco4)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,BZFBFKSBVWKNGO-UHFFFAOYSA-N,-5.554935,-2.486578,3.068356,,2.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0002,Erol dataset,Development/Training,Core_SSeTe,"D58,A2",,,,Cc1[se]c(-c2c3cc(-c4nncs4)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,XYPDMJKAMIJETR-UHFFFAOYSA-N,-5.519832,-2.544266,2.975565,,3.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0003,Erol dataset,Development/Training,Core_SSeTe,"D58,A3",,,,Cc1[se]c(-c2c3cc(-c4nncnn4)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,JPYKBNDLORHVST-UHFFFAOYSA-N,-5.541057,-3.452855,2.088202,,2.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0004,Erol dataset,Development/Training,Core_SSeTe,"D58,A4",,,,Cc1[se]c(-c2c3cc(-c4nc5scnc5s4)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,NSAXHSZUMAQMME-UHFFFAOYSA-N,-5.436021,-2.574743,2.861277,,4.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0005,Erol dataset,Development/Training,Core_SSeTe,"D58,A5",,,,Cc1[se]c(-c2c3cc(-c4csc(-c5nccs5)n4)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,KOVFWDJLQGBOMA-UHFFFAOYSA-N,-5.320101,-2.355419,2.964681,,4.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0006,Erol dataset,Development/Training,Core_SSeTe,"D58,A6",,,,Cc1[se]c(-c2c3cc(-c4cccc5nsnc45)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,XUVOQWAIDQCXOA-UHFFFAOYSA-N,-5.356292,-3.129583,2.226708,,3.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0007,Erol dataset,Development/Training,Core_SSeTe,"D58,A7",,,,Cc1[se]c(-c2c3cc(-c4nccc5nsnc45)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,FWTQTXBHIZLENM-UHFFFAOYSA-N,-5.367449,-3.528774,1.838673,,3.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0008,Erol dataset,Development/Training,Core_SSeTe,"D58,A8",,,,Cc1[se]c(-c2c3cc(-c4c(F)ccc5nsnc45)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,OSVAHOZAMKMIAH-UHFFFAOYSA-N,-5.290168,-3.316253,1.973914,,3.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0009,Erol dataset,Development/Training,Core_SSeTe,"D58,A9",,,,Cc1[se]c(-c2c3cc(-c4c(F)c(F)cc5nsnc45)sc3c(-c3cc(F)c(C)[se]3)c3ccsc23)cc1F,LIOQHBDYLPETQM-UHFFFAOYSA-N,-5.380782,-3.457208,1.923573,,3.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
EROL_0010,Erol dataset,Development/Training,Core_SSeTe,"D58,A10",,,,CCOc1ccc2nsnc2c1-c1cc2c(-c3cc(F)c(C)[se]3)c3sccc3c(-c3cc(F)c(C)[se]3)c2s1,GAVAJWKAVDRKAZ-UHFFFAOYSA-N,-5.170438,-3.015023,2.155414,,3.0,2.0,0.0,Mixed,Source SDF quantum-chemical properties; exact level not stated in master table,,Ready - property-complete SDF linked
